,roc_fpr_rf,roc_tpr_rf,roc_threshold_rf
0,0.0,0.0,1.975
1,0.0,0.001953125,0.975
2,0.0,0.009765625,0.955
3,0.0,0.017578125,0.92
4,0.0,0.01953125,0.915
5,0.0,0.025390625,0.905
6,0.0,0.02734375,0.9
7,0.0,0.033203125,0.895
8,0.0,0.037109375,0.89
9,0.0,0.0390625,0.88
10,0.0,0.046875,0.865
11,0.0,0.052734375,0.86
12,0.0,0.060546875,0.855
13,0.0,0.06640625,0.85
14,0.0,0.08203125,0.825
15,0.0,0.087890625,0.82
16,0.0,0.095703125,0.81
17,0.0,0.09765625,0.805
18,0.0,0.1015625,0.8
19,0.0,0.119140625,0.785
20,0.0,0.126953125,0.775
21,0.00019912385503783353,0.1328125,0.77
22,0.00019912385503783353,0.140625,0.765
23,0.00019912385503783353,0.142578125,0.76
24,0.00019912385503783353,0.15234375,0.755
25,0.00019912385503783353,0.158203125,0.75
26,0.00019912385503783353,0.162109375,0.745
27,0.00019912385503783353,0.16796875,0.74
28,0.00019912385503783353,0.177734375,0.73
29,0.00019912385503783353,0.189453125,0.725
30,0.00019912385503783353,0.19921875,0.72
31,0.00039824771007566706,0.203125,0.715
32,0.00039824771007566706,0.20703125,0.71
33,0.00039824771007566706,0.212890625,0.705
34,0.00039824771007566706,0.220703125,0.7
35,0.0005973715651135006,0.2265625,0.695
36,0.0005973715651135006,0.2421875,0.69
37,0.0007964954201513341,0.2578125,0.685
38,0.0007964954201513341,0.26171875,0.675
39,0.0007964954201513341,0.28125,0.665
40,0.0007964954201513341,0.28515625,0.66
41,0.0009956192751891676,0.296875,0.655
42,0.0011947431302270011,0.30078125,0.65
43,0.0015929908403026682,0.3125,0.64
44,0.0017921146953405018,0.31640625,0.635
45,0.001991238550378335,0.326171875,0.63
46,0.001991238550378335,0.3359375,0.625
47,0.001991238550378335,0.337890625,0.62
48,0.001991238550378335,0.345703125,0.61
49,0.001991238550378335,0.359375,0.605
50,0.002190362405416169,0.365234375,0.6
51,0.002190362405416169,0.3671875,0.595
52,0.0023894862604540022,0.380859375,0.59
53,0.0023894862604540022,0.38671875,0.585
54,0.0027877339705296694,0.388671875,0.58
55,0.0027877339705296694,0.39453125,0.575
56,0.002986857825567503,0.40234375,0.57
57,0.0033851055356431702,0.404296875,0.565
58,0.003783353245718837,0.412109375,0.56
59,0.003783353245718837,0.4140625,0.55
60,0.003783353245718837,0.419921875,0.545
61,0.00398247710075667,0.427734375,0.54
62,0.00398247710075667,0.43359375,0.535
63,0.00398247710075667,0.447265625,0.53
64,0.004579848665870172,0.44921875,0.525
65,0.0047789725209080045,0.455078125,0.52
66,0.005177220230983672,0.458984375,0.515
67,0.005376344086021506,0.470703125,0.51
68,0.0057745917960971725,0.47265625,0.505
69,0.006172839506172839,0.48046875,0.5
70,0.006371963361210673,0.490234375,0.495
71,0.006371963361210673,0.498046875,0.49
72,0.006571087216248507,0.505859375,0.485
73,0.0067702110712863405,0.509765625,0.48
74,0.006969334926324173,0.509765625,0.475
75,0.006969334926324173,0.517578125,0.465
76,0.006969334926324173,0.5234375,0.46
77,0.007168458781362007,0.53515625,0.455
78,0.007367582636399841,0.537109375,0.45
79,0.00796495420151334,0.541015625,0.445
80,0.00796495420151334,0.55078125,0.44
81,0.008164078056551175,0.55078125,0.435
82,0.008363201911589008,0.5546875,0.43
83,0.008761449621664676,0.572265625,0.425
84,0.009358821186778176,0.57421875,0.42
85,0.009757068896853844,0.5859375,0.415
86,0.009956192751891677,0.58984375,0.41
87,0.010354440461967344,0.591796875,0.405
88,0.010951812027080845,0.6015625,0.4
89,0.011150935882118677,0.60546875,0.395
90,0.011150935882118677,0.611328125,0.39
91,0.011150935882118677,0.61328125,0.385
92,0.011350059737156512,0.625,0.38
93,0.011947431302270013,0.630859375,0.375
94,0.012943050577459179,0.63671875,0.37
95,0.013142174432497013,0.63671875,0.365
96,0.013739545997610514,0.642578125,0.36
97,0.013938669852648347,0.654296875,0.355
98,0.014934289127837515,0.65625,0.35
99,0.017323775388291517,0.6640625,0.34
100,0.017722023098367186,0.666015625,0.335
101,0.018518518518518517,0.66796875,0.33
102,0.020111509358821188,0.67578125,0.325
103,0.020708880923934688,0.677734375,0.32
104,0.021704500199123854,0.681640625,0.315
105,0.022301871764237355,0.68359375,0.31
106,0.023894862604540025,0.693359375,0.305
107,0.025288729589804857,0.697265625,0.3
108,0.026682596575069693,0.69921875,0.295
109,0.029072082835523694,0.70703125,0.29
110,0.031660692951015534,0.712890625,0.285
111,0.034050179211469536,0.716796875,0.28
112,0.03643966547192354,0.7265625,0.275
113,0.03882915173237754,0.73828125,0.27
114,0.04002389486260454,0.744140625,0.265
115,0.043010752688172046,0.75,0.26
116,0.04619673436877738,0.75390625,0.255
117,0.04898446833930705,0.759765625,0.25
118,0.05236957387495022,0.765625,0.245
119,0.05396256471525289,0.767578125,0.24
120,0.056152927120669056,0.775390625,0.235
121,0.05894066109119873,0.779296875,0.23
122,0.06053365193150139,0.7890625,0.225
123,0.06312226204699323,0.79296875,0.22
124,0.06790123456790123,0.796875,0.215
125,0.0700915969733174,0.80078125,0.21
126,0.07407407407407407,0.8046875,0.205
127,0.07805655117483075,0.810546875,0.2
128,0.08164078056551174,0.8203125,0.195
129,0.08542413381123058,0.828125,0.19
130,0.09000398247710076,0.837890625,0.185
131,0.09518120270808443,0.841796875,0.18
132,0.0991636798088411,0.849609375,0.175
133,0.10294703305455993,0.861328125,0.17
134,0.10911987256073277,0.8671875,0.165
135,0.11529271206690561,0.87109375,0.16
136,0.12246117084826762,0.873046875,0.155
137,0.1294305057745918,0.880859375,0.15
138,0.13440860215053763,0.8828125,0.145
139,0.14038231780167265,0.890625,0.14
140,0.14934289127837516,0.8984375,0.135
141,0.15690959776981284,0.90234375,0.13
142,0.16407805655117483,0.91015625,0.125
143,0.173436877737953,0.91015625,0.12
144,0.1812027080844285,0.9140625,0.115
145,0.1911589008363202,0.919921875,0.11
146,0.2060931899641577,0.923828125,0.105
147,0.21764237355635205,0.9296875,0.1
148,0.23018717642373557,0.935546875,0.095
149,0.24452409398645958,0.939453125,0.09
150,0.25686977299880526,0.943359375,0.085
151,0.27041019514137793,0.953125,0.08
152,0.2889287136598965,0.95703125,0.075
153,0.30963759458383117,0.962890625,0.07
154,0.32735961768219835,0.96484375,0.065
155,0.3514536041417762,0.966796875,0.06
156,0.3753484667463162,0.96875,0.055
157,0.4012345679012346,0.97265625,0.05
158,0.43847072879330945,0.974609375,0.045
159,0.4767025089605735,0.9765625,0.04
160,0.5209080047789725,0.98046875,0.035
161,0.5710872162485066,0.986328125,0.03
162,0.6250497809637594,0.990234375,0.025
163,0.6919553962564715,0.994140625,0.02
164,0.7688172043010753,0.994140625,0.015
165,0.856431700517722,0.998046875,0.01
166,0.9384707287933094,1.0,0.005
167,1.0,1.0,0.0
