,roc_fpr_rf,roc_tpr_rf,roc_threshold_rf
0,0.0,0.0,1.9849999999999999
1,0.0,0.001953125,0.985
2,0.0,0.00390625,0.98
3,0.0,0.0078125,0.95
4,0.0,0.009765625,0.945
5,0.0,0.013671875,0.93
6,0.0,0.015625,0.925
7,0.0,0.01953125,0.92
8,0.0,0.021484375,0.915
9,0.0,0.025390625,0.905
10,0.0,0.033203125,0.9
11,0.0,0.037109375,0.89
12,0.0,0.04296875,0.885
13,0.000198294665873488,0.04296875,0.88
14,0.000198294665873488,0.046875,0.875
15,0.000198294665873488,0.052734375,0.87
16,0.000198294665873488,0.0546875,0.865
17,0.000198294665873488,0.060546875,0.86
18,0.000198294665873488,0.0625,0.855
19,0.000198294665873488,0.068359375,0.85
20,0.000198294665873488,0.072265625,0.845
21,0.000198294665873488,0.08203125,0.84
22,0.000198294665873488,0.0859375,0.83
23,0.000198294665873488,0.09765625,0.82
24,0.000198294665873488,0.10546875,0.81
25,0.000198294665873488,0.115234375,0.805
26,0.000198294665873488,0.119140625,0.8
27,0.000198294665873488,0.125,0.795
28,0.000198294665873488,0.12890625,0.785
29,0.000198294665873488,0.134765625,0.78
30,0.000198294665873488,0.14453125,0.775
31,0.000198294665873488,0.150390625,0.77
32,0.000198294665873488,0.154296875,0.765
33,0.000396589331746976,0.16015625,0.76
34,0.000396589331746976,0.166015625,0.755
35,0.000396589331746976,0.173828125,0.745
36,0.000396589331746976,0.189453125,0.735
37,0.000396589331746976,0.19921875,0.73
38,0.000396589331746976,0.203125,0.725
39,0.000396589331746976,0.2265625,0.715
40,0.000396589331746976,0.23046875,0.71
41,0.000396589331746976,0.236328125,0.705
42,0.000396589331746976,0.24609375,0.7
43,0.000396589331746976,0.251953125,0.695
44,0.000396589331746976,0.255859375,0.69
45,0.000396589331746976,0.26171875,0.685
46,0.000396589331746976,0.263671875,0.68
47,0.000396589331746976,0.275390625,0.675
48,0.000396589331746976,0.283203125,0.67
49,0.000396589331746976,0.2890625,0.665
50,0.000396589331746976,0.29296875,0.655
51,0.000396589331746976,0.298828125,0.65
52,0.000396589331746976,0.310546875,0.645
53,0.000793178663493952,0.322265625,0.635
54,0.000793178663493952,0.32421875,0.6348158361001149
55,0.000793178663493952,0.328125,0.63
56,0.000793178663493952,0.330078125,0.625
57,0.00099147332936744,0.33203125,0.62
58,0.00099147332936744,0.34375,0.61
59,0.00099147332936744,0.34765625,0.605
60,0.001388062661114416,0.353515625,0.6
61,0.001388062661114416,0.359375,0.595
62,0.00198294665873488,0.36328125,0.59
63,0.00198294665873488,0.37109375,0.585
64,0.00198294665873488,0.376953125,0.58
65,0.002181241324608368,0.37890625,0.57
66,0.002379535990481856,0.384765625,0.565
67,0.002379535990481856,0.396484375,0.56
68,0.002577830656355344,0.404296875,0.555
69,0.002776125322228832,0.408203125,0.55
70,0.002776125322228832,0.416015625,0.545
71,0.00297441998810232,0.421875,0.54
72,0.003172714653975808,0.4296875,0.535
73,0.003172714653975808,0.43359375,0.53
74,0.003172714653975808,0.435546875,0.525
75,0.0033710093198492963,0.443359375,0.52
76,0.0033710093198492963,0.447265625,0.515
77,0.0033710093198492963,0.45703125,0.51
78,0.0033710093198492963,0.46875,0.5
79,0.00396589331746976,0.474609375,0.495
80,0.00396589331746976,0.484375,0.49
81,0.00396589331746976,0.49609375,0.485
82,0.004164187983343248,0.50390625,0.48
83,0.004560777315090224,0.505859375,0.475
84,0.0049573666468372005,0.509765625,0.47
85,0.0049573666468372005,0.513671875,0.465
86,0.005155661312710688,0.521484375,0.46
87,0.005155661312710688,0.52734375,0.455
88,0.005552250644457664,0.54296875,0.445
89,0.005552250644457664,0.546875,0.435
90,0.005552250644457664,0.552734375,0.43
91,0.00594883997620464,0.55859375,0.425
92,0.006543723973825104,0.5625,0.42
93,0.007336902637319056,0.568359375,0.415
94,0.00793178663493952,0.5703125,0.41
95,0.008328375966686495,0.576171875,0.405
96,0.008526670632559984,0.576171875,0.4
97,0.009319849296053936,0.578125,0.395
98,0.009914733293674401,0.58984375,0.39
99,0.01090620662304184,0.6015625,0.385
100,0.01189767995240928,0.611328125,0.38
101,0.012690858615903232,0.62109375,0.375
102,0.013682331945270671,0.62109375,0.37
103,0.0148720999405116,0.625,0.365
104,0.015268689272258577,0.62890625,0.36
105,0.016061867935752528,0.640625,0.355
106,0.016458457267499504,0.654296875,0.35
107,0.01784651992861392,0.6640625,0.345
108,0.018639698592107873,0.671875,0.34
109,0.019234582589728336,0.673828125,0.335
110,0.02002776125322229,0.677734375,0.33
111,0.021217529248463218,0.6875,0.325
112,0.021217529248463218,0.689453125,0.32371976253883716
113,0.022605591909577633,0.693359375,0.32
114,0.02399365457069205,0.693359375,0.315
115,0.025976601229426927,0.701171875,0.31
116,0.028157842554035296,0.7109375,0.305
117,0.030339083878643664,0.71484375,0.3
118,0.0313305572080111,0.716796875,0.295
119,0.032322030537378546,0.736328125,0.29
120,0.034503271861986914,0.74609375,0.285
121,0.037477691850089236,0.75,0.28
122,0.039262343842950624,0.75390625,0.275
123,0.042038469165179455,0.76171875,0.27
124,0.04501288915328178,0.76953125,0.265
125,0.04858219313900456,0.77734375,0.26
126,0.05076343446361293,0.78515625,0.255
127,0.052349791790600834,0.791015625,0.25
128,0.055125917112829666,0.796875,0.245
129,0.057505453103311524,0.80078125,0.24
130,0.06087646242316082,0.810546875,0.235
131,0.06325599841364267,0.818359375,0.23
132,0.06722189173111243,0.82421875,0.225
133,0.07158437438032916,0.830078125,0.22
134,0.0761451516954194,0.833984375,0.215
135,0.07911957168352171,0.83984375,0.21
136,0.0826888756692445,0.845703125,0.205
137,0.08546500099147333,0.8515625,0.2
138,0.08883601031132263,0.85546875,0.195
139,0.09200872496529844,0.86328125,0.19
140,0.09200872496529844,0.865234375,0.18906686616656895
141,0.09696609161213564,0.87109375,0.185
142,0.09716438627800912,0.87109375,0.18385892185702155
143,0.10291493158834028,0.87890625,0.18
