,roc_fpr_rf,roc_tpr_rf,roc_threshold_rf
0,0.0,0.0,2.0
1,0.0,0.001953125,1.0
2,0.0,0.005859375,0.965
3,0.0,0.009765625,0.96
4,0.0,0.01171875,0.95
5,0.0,0.0234375,0.935
6,0.0,0.029296875,0.92
7,0.0,0.03515625,0.915
8,0.0,0.04296875,0.89
9,0.0,0.048828125,0.885
10,0.0,0.052734375,0.875
11,0.0,0.060546875,0.87
12,0.0,0.076171875,0.845
13,0.0,0.078125,0.84
14,0.0,0.083984375,0.835
15,0.0,0.091796875,0.83
16,0.0,0.095703125,0.825
17,0.00019868865487780648,0.099609375,0.815
18,0.00019868865487780648,0.1015625,0.81
19,0.00019868865487780648,0.107421875,0.805
20,0.00019868865487780648,0.11328125,0.79
21,0.00019868865487780648,0.119140625,0.785
22,0.00019868865487780648,0.12109375,0.78
23,0.00019868865487780648,0.125,0.775
24,0.00039737730975561295,0.1328125,0.77
25,0.00039737730975561295,0.146484375,0.765
26,0.00039737730975561295,0.150390625,0.76
27,0.00039737730975561295,0.158203125,0.755
28,0.00039737730975561295,0.169921875,0.745
29,0.00039737730975561295,0.171875,0.74
30,0.00039737730975561295,0.1796875,0.735
31,0.0005960659646334195,0.18359375,0.73
32,0.0005960659646334195,0.189453125,0.725
33,0.0005960659646334195,0.19921875,0.72
34,0.0005960659646334195,0.20703125,0.715
35,0.0005960659646334195,0.21484375,0.705
36,0.0005960659646334195,0.232421875,0.7
37,0.0005960659646334195,0.240234375,0.69
38,0.0005960659646334195,0.248046875,0.685
39,0.0005960659646334195,0.25,0.68
40,0.0005960659646334195,0.255859375,0.675
41,0.0005960659646334195,0.259765625,0.67
42,0.0007947546195112259,0.267578125,0.665
43,0.0009934432743890324,0.27734375,0.66
44,0.0009934432743890324,0.287109375,0.655
45,0.0009934432743890324,0.294921875,0.65
46,0.001192131929266839,0.298828125,0.645
47,0.001192131929266839,0.3046875,0.64
48,0.0013908205841446453,0.310546875,0.635
49,0.0015895092390224518,0.3125,0.63
50,0.001986886548778065,0.31640625,0.625
51,0.001986886548778065,0.322265625,0.62
52,0.001986886548778065,0.32421875,0.615
53,0.001986886548778065,0.330078125,0.61
54,0.002185575203655871,0.33203125,0.605
55,0.002185575203655871,0.33984375,0.6
56,0.002384263858533678,0.349609375,0.595
57,0.0027816411682892906,0.361328125,0.585
58,0.0027816411682892906,0.373046875,0.575
59,0.0027816411682892906,0.380859375,0.57
60,0.0029803298231670973,0.38671875,0.565
61,0.0031790184780449036,0.390625,0.56
62,0.00337770713292271,0.400390625,0.555
63,0.00337770713292271,0.40234375,0.55
64,0.00337770713292271,0.40625,0.54
65,0.00337770713292271,0.416015625,0.535
66,0.0035763957878005167,0.41796875,0.53
67,0.003775084442678323,0.41796875,0.525
68,0.004371150407311742,0.419921875,0.52
69,0.004371150407311742,0.42578125,0.515
70,0.004371150407311742,0.43359375,0.51
71,0.004967216371945162,0.4375,0.505
72,0.004967216371945162,0.4453125,0.5
73,0.004967216371945162,0.44921875,0.495
74,0.0051659050268229685,0.453125,0.49
75,0.005563282336578581,0.45703125,0.485
76,0.005563282336578581,0.458984375,0.48
