,pr_precision_nfm,pr_recall_nfm,pr_threshold_nfm
0,0.10776678593980214,1.0,1.4901161193847656e-06
1,0.1076923076923077,0.998046875,1.519918441772461e-06
2,0.10776043863348798,0.998046875,1.5497207641601562e-06
3,0.10785141409877586,0.998046875,1.5795230865478516e-06
4,0.10791974656810982,0.998046875,1.6093254089355469e-06
5,0.10798816568047337,0.998046875,1.6391277313232422e-06
6,0.1080338266384778,0.998046875,1.6689300537109375e-06
7,0.10812526449428693,0.998046875,1.6987323760986328e-06
8,0.10819394452678383,0.998046875,1.7285346984863281e-06
9,0.10828565374019919,0.998046875,1.7583370208740234e-06
10,0.10840050912176495,0.998046875,1.7881393432617188e-06
11,0.10844651952461799,0.998046875,1.817941665649414e-06
12,0.10853865760407816,0.998046875,1.8477439880371094e-06
13,0.10870027653690705,0.998046875,1.8775463104248047e-06
14,0.10876968922945934,0.998046875,1.9073486328125e-06
15,0.10890878090366582,0.998046875,1.9371509552001953e-06
16,0.10897846022606099,0.998046875,1.9669532775878906e-06
17,0.10888129803586678,0.99609375,1.996755599975586e-06
18,0.10904425914047466,0.99609375,2.0265579223632812e-06
19,0.10911424903722722,0.99609375,2.0563602447509766e-06
20,0.10927790872080566,0.99609375,2.086162567138672e-06
21,0.10937164915290586,0.99609375,2.115964889526367e-06
22,0.10944206008583691,0.99609375,2.1457672119140625e-06
23,0.10948905109489052,0.99609375,2.175569534301758e-06
24,0.10965383788432595,0.99609375,2.205371856689453e-06
25,0.10974822466107166,0.99609375,2.2351741790771484e-06
26,0.10979547900968784,0.99609375,2.254522314615315e-06
27,0.10981912144702842,0.99609375,2.2649765014648438e-06
28,0.10991379310344827,0.99609375,2.294778823852539e-06
29,0.11003236245954692,0.99609375,2.3245811462402344e-06
30,0.11010362694300518,0.99609375,2.3543834686279297e-06
31,0.1101511879049676,0.99609375,2.384185791015625e-06
32,0.11022260644045818,0.99609375,2.4139881134033203e-06
33,0.11031797534068787,0.99609375,2.473592758178711e-06
34,0.11038961038961038,0.99609375,2.5033950805664062e-06
35,0.11048526863084922,0.99609375,2.5331974029541016e-06
36,0.1105092091007584,0.99609375,2.592802047729492e-06
37,0.11058109280138768,0.99609375,2.6226043701171875e-06
38,0.11065307008027772,0.99609375,2.652406692504883e-06
39,0.11067708333333333,0.99609375,2.682209014892578e-06
40,0.1107251411202779,0.99609375,2.7120113372802734e-06
41,0.11079730610471432,0.99609375,2.7418136596679688e-06
42,0.1108695652173913,0.99609375,2.771615982055664e-06
43,0.110941918642593,0.99609375,2.8014183044433594e-06
44,0.1110143665650849,0.99609375,2.8312206268310547e-06
45,0.11118378024852844,0.99609375,2.86102294921875e-06
46,0.11123227917121047,0.99609375,2.8908252716064453e-06
47,0.11128082042330352,0.99609375,2.9206275939941406e-06
48,0.11132940406024885,0.99609375,2.950429916381836e-06
49,0.11135371179039301,0.99609375,2.9802322387695312e-06
50,0.11145104895104894,0.99609375,3.0100345611572266e-06
51,0.11152416356877323,0.99609375,3.039836883544922e-06
52,0.11157295996499672,0.99609375,3.069639205932617e-06
53,0.1116951379763469,0.99609375,3.0994415283203125e-06
54,0.11171960569550932,0.99609375,3.129243850708008e-06
55,0.1118175838631879,0.99609375,3.159046173095703e-06
56,0.11186663742048696,0.99609375,3.2186508178710938e-06
57,0.1119157340355497,0.99609375,3.248453140258789e-06
58,0.11203866432337434,0.99609375,3.2782554626464844e-06
59,0.11211255220927677,0.99609375,3.3080577850341797e-06
60,0.11213720316622691,0.99609375,3.337860107421875e-06
61,0.11221122112211221,0.99609375,3.3676624298095703e-06
62,0.11233480176211454,0.99609375,3.3974647521972656e-06
63,0.11245865490628446,0.99609375,3.427267074584961e-06
64,0.11248345831495368,0.99609375,3.4570693969726562e-06
65,0.11255793423085411,0.99609375,3.4868717193603516e-06
66,0.11258278145695365,0.99609375,3.516674041748047e-06
67,0.11260763965555311,0.99609375,3.546476364135742e-06
68,0.11268228015908087,0.99609375,3.5762786865234375e-06
69,0.11275701967720539,0.99609375,3.635883331298828e-06
70,0.11295681063122924,0.99609375,3.6954879760742188e-06
71,0.1130820399113082,0.99609375,3.7550926208496094e-06
72,0.11320754716981132,0.99609375,3.7848949432373047e-06
73,0.11325782811459027,0.99609375,3.814697265625e-06
74,0.11330815374361253,0.99609375,3.844499588012695e-06
75,0.11343416370106761,0.99609375,3.874301910400391e-06
76,0.11348464619492657,0.99609375,3.904104232788086e-06
77,0.11363636363636363,0.99609375,3.9637088775634766e-06
78,0.11368702630405707,0.99609375,3.993511199951172e-06
79,0.1137631050635735,0.99609375,4.023313522338867e-06
80,0.11378848728246319,0.99609375,4.0531158447265625e-06
81,0.11383928571428571,0.99609375,4.082918167114258e-06
82,0.11386470194239785,0.99609375,4.112720489501953e-06
83,0.11394101876675604,0.99609375,4.1425228118896484e-06
84,0.11404293381037567,0.99609375,4.172325134277344e-06
85,0.11409395973154363,0.99609375,4.202127456665039e-06
86,0.11414503133393017,0.99609375,4.231929779052734e-06
87,0.1141961486789073,0.99609375,4.291534423828125e-06
88,0.1142729105982523,0.99609375,4.351139068603516e-06
89,0.11432414256893074,0.99609375,4.380941390991211e-06
90,0.11440107671601615,0.99609375,4.4405460357666016e-06
91,0.11450381679389313,0.99609375,4.470348358154297e-06
92,0.11452953065349203,0.99609375,4.500150680541992e-06
93,0.11458099303527297,0.99609375,4.5299530029296875e-06
94,0.1146067415730337,0.99609375,4.559755325317383e-06
95,0.11468405666741624,0.99609375,4.589557647705078e-06
96,0.11476147614761475,0.99609375,4.6193599700927734e-06
