,pr_precision,pr_recall,pr_threshold
0,0.11157114839834387,1.0,0.30837446451187134
1,0.11137750653879686,0.998046875,0.3085092306137085
2,0.11140178766078046,0.998046875,0.30871716141700745
3,0.11142607937200175,0.998046875,0.3088529109954834
4,0.11145038167938931,0.998046875,0.3089621365070343
5,0.11147469458987784,0.998046875,0.30952709913253784
6,0.11149901811040804,0.998046875,0.3099261522293091
7,0.11152335224792667,0.998046875,0.30996501445770264
8,0.11154769700938659,0.998046875,0.3100978136062622
9,0.11157205240174672,0.998046875,0.310416042804718
10,0.11159641843197204,0.998046875,0.31048011779785156
11,0.11162079510703364,0.998046875,0.3105885684490204
12,0.11164518243390867,0.998046875,0.3106648027896881
13,0.11166958041958042,0.998046875,0.31174540519714355
14,0.11169398907103825,0.998046875,0.31179675459861755
15,0.11171840839527766,0.998046875,0.3119094967842102
16,0.11174283839930024,0.998046875,0.312069833278656
17,0.11176727909011373,0.998046875,0.3120860755443573
18,0.11179173047473201,0.998046875,0.31282925605773926
19,0.11181619256017505,0.998046875,0.3133251965045929
20,0.11184066535346902,0.998046875,0.31372004747390747
21,0.11186514886164624,0.998046875,0.31420964002609253
22,0.11188964309174512,0.998046875,0.31440436840057373
23,0.11191414805081033,0.998046875,0.31458359956741333
24,0.11193866374589266,0.998046875,0.31488409638404846
25,0.11196319018404909,0.998046875,0.3150625228881836
26,0.11198772737234276,0.998046875,0.3152250051498413
27,0.11201227531784305,0.998046875,0.31536251306533813
28,0.11203683402762551,0.998046875,0.315853089094162
29,0.11206140350877193,0.998046875,0.31590864062309265
30,0.11208598376837026,0.998046875,0.3159785270690918
31,0.1121105748135147,0.998046875,0.31622666120529175
32,0.11213517665130568,0.998046875,0.31634193658828735
33,0.11215978928884987,0.998046875,0.31650370359420776
34,0.11218441273326016,0.998046875,0.31651830673217773
35,0.11220904699165568,0.998046875,0.31690073013305664
36,0.11223369207116188,0.998046875,0.31708481907844543
37,0.11225834797891036,0.998046875,0.3172595798969269
38,0.11228301472203911,0.998046875,0.3174627423286438
39,0.1123076923076923,0.998046875,0.31803280115127563
40,0.11233238074302045,0.998046875,0.3181121349334717
41,0.1123570800351803,0.998046875,0.3181186020374298
42,0.11238179019133494,0.998046875,0.31837427616119385
43,0.11240651121865376,0.998046875,0.3187558054924011
44,0.11243124312431244,0.998046875,0.3187916576862335
45,0.11245598591549295,0.998046875,0.318977952003479
46,0.11248073959938366,0.998046875,0.3190866708755493
47,0.11250550418317921,0.998046875,0.3195907175540924
48,0.1125302796740806,0.998046875,0.31990137696266174
49,0.11255506607929515,0.998046875,0.32019901275634766
50,0.11257986340603657,0.998046875,0.3207207918167114
51,0.11260467166152491,0.998046875,0.32099032402038574
52,0.11262949085298656,0.998046875,0.3211212754249573
53,0.11265432098765432,0.998046875,0.3216908872127533
54,0.11267916207276736,0.998046875,0.3217458724975586
55,0.11270401411557124,0.998046875,0.321757972240448
56,0.11272887712331789,0.998046875,0.321858286857605
57,0.11275375110326567,0.998046875,0.3219839036464691
58,0.11277863606267932,0.998046875,0.3228885233402252
59,0.11280353200883002,0.998046875,0.32301029562950134
60,0.11282843894899536,0.998046875,0.32304826378822327
61,0.11285335689045936,0.998046875,0.32367944717407227
62,0.11287828584051247,0.998046875,0.32394543290138245
63,0.11290322580645161,0.998046875,0.3242064118385315
64,0.1129281767955801,0.998046875,0.3243047595024109
65,0.11295313881520778,0.998046875,0.3243434727191925
66,0.1129781118726509,0.998046875,0.32455068826675415
67,0.1130030959752322,0.998046875,0.3245986998081207
68,0.11302809113028091,0.998046875,0.32461726665496826
69,0.11305309734513275,0.998046875,0.32469862699508667
70,0.1130781146271299,0.998046875,0.3256947100162506
71,0.11310314298362108,0.998046875,0.326144278049469
72,0.11312818242196147,0.998046875,0.3264016807079315
73,0.11315323294951285,0.998046875,0.3266642093658447
74,0.11317829457364341,0.998046875,0.3268307149410248
75,0.11320336730172796,0.998046875,0.3268463611602783
76,0.1132284511411478,0.998046875,0.3270902633666992
77,0.11325354609929078,0.998046875,0.3272307515144348
78,0.11327865218355132,0.998046875,0.32744666934013367
79,0.11330376940133037,0.998046875,0.32751134037971497
80,0.11332889776003549,0.998046875,0.32776758074760437
81,0.11335403726708075,0.998046875,0.32817983627319336
82,0.11337918792988684,0.998046875,0.3283275365829468
83,0.11340434975588105,0.998046875,0.3283337354660034
84,0.11342952275249722,0.998046875,0.32880881428718567
85,0.11345470692717584,0.998046875,0.3290717601776123
86,0.11347990228736397,0.998046875,0.3297668397426605
87,0.11350510884051533,0.998046875,0.3298218846321106
88,0.11353032659409021,0.998046875,0.3299795389175415
89,0.11355555555555556,0.998046875,0.330235093832016
90,0.11358079573238497,0.998046875,0.3303491175174713
91,0.1136060471320587,0.998046875,0.3303541839122772
92,0.11363130976206359,0.998046875,0.33061492443084717
93,0.11365658362989324,0.998046875,0.3307132422924042
94,0.11368186874304784,0.998046875,0.3309391140937805
95,0.11370716510903427,0.998046875,0.33215031027793884
96,0.11373247273536613,0.998046875,0.3321644067764282
97,0.11375779162956366,0.998046875,0.3322466015815735
98,0.11378312179915387,0.998046875,0.3323322534561157
99,0.11380846325167038,0.998046875,0.3325653374195099
100,0.1138338159946536,0.998046875,0.33266767859458923
101,0.11385918003565063,0.998046875,0.33306801319122314
102,0.11388455538221529,0.998046875,0.3330784738063812
103,0.11390994204190816,0.998046875,0.3332201838493347
104,0.11393534002229655,0.998046875,0.3334205150604248
105,0.1139607493309545,0.998046875,0.33345842361450195
106,0.11398616997546286,0.998046875,0.33346596360206604
