,roc_auc_rf,pr_auc_rf,roc_auc_kge_rf,pr_auc_kge_rf
0,0.9553849891169155,0.7870957753184635,0.9743664490049752,0.8767831600846473
1,0.947635870917961,0.7848196683048294,0.9651480750323577,0.8613800608346565
2,0.9402933732203306,0.7498272523780694,0.958583210436579,0.8274194043760122
3,0.9617938076293872,0.8033950740108365,0.9713123388855839,0.8685919583520962
4,0.9430081772799523,0.7523212982253042,0.9610092917991259,0.8390943946574296
5,0.943197550173439,0.7666466987428275,0.9661178301536174,0.8506618748733279
6,0.9429826953280813,0.7715924938142547,0.963402083541085,0.8544563383223743
7,0.9520738403247464,0.7796737928843243,0.9655036630321264,0.8519520812828061
8,0.9494190705128205,0.7751947445703393,0.9647709591159808,0.849931383974285
9,0.9514410294337926,0.7916085569616707,0.961696788558518,0.8484468254598996
