,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
0,0.0,0.0,1.932
1,0.0,0.001953125,0.932
2,0.0,0.01953125,0.79
3,0.0,0.0234375,0.786
4,0.0,0.037109375,0.75
5,0.0,0.041015625,0.742
6,0.0,0.0546875,0.704
7,0.0,0.06640625,0.692
8,0.0,0.07421875,0.676
9,0.0,0.078125,0.674
10,0.0,0.083984375,0.664
11,0.0,0.091796875,0.66
12,0.0,0.09375,0.656
13,0.0,0.09765625,0.652
14,0.0,0.103515625,0.65
15,0.0,0.10546875,0.646
16,0.0,0.111328125,0.644
17,0.0,0.11328125,0.64
18,0.0,0.1171875,0.638
19,0.0,0.12109375,0.634
20,0.0,0.125,0.632
21,0.0,0.130859375,0.63
22,0.0,0.134765625,0.624
23,0.0,0.138671875,0.622
24,0.0,0.14453125,0.62
25,0.0,0.146484375,0.618
26,0.0,0.15234375,0.616
27,0.0,0.15625,0.608
28,0.0,0.1640625,0.604
29,0.0,0.166015625,0.602
30,0.0,0.169921875,0.6
31,0.0,0.177734375,0.59
32,0.0,0.181640625,0.588
33,0.0,0.18359375,0.586
34,0.0,0.1875,0.584
35,0.0,0.189453125,0.582
36,0.0,0.193359375,0.58
37,0.0,0.1953125,0.576
38,0.0,0.19921875,0.574
39,0.0,0.205078125,0.572
40,0.0,0.2109375,0.566
41,0.0,0.21484375,0.56
42,0.0,0.220703125,0.554
43,0.0,0.228515625,0.55
44,0.0,0.234375,0.548
45,0.0,0.23828125,0.546
46,0.0,0.240234375,0.544
47,0.0,0.248046875,0.542
48,0.0,0.251953125,0.54
49,0.0,0.25390625,0.538
50,0.0,0.26171875,0.534
51,0.0,0.2734375,0.53
52,0.0,0.27734375,0.526
53,0.00019821605550049553,0.28125,0.522
54,0.00039643211100099106,0.29296875,0.52
55,0.00039643211100099106,0.30078125,0.518
56,0.00039643211100099106,0.302734375,0.516
57,0.00039643211100099106,0.30859375,0.514
58,0.00039643211100099106,0.3125,0.512
59,0.00039643211100099106,0.322265625,0.508
60,0.00039643211100099106,0.32421875,0.506
61,0.00039643211100099106,0.330078125,0.504
62,0.00039643211100099106,0.33203125,0.502
63,0.00039643211100099106,0.34375,0.5
64,0.00039643211100099106,0.3515625,0.498
65,0.00039643211100099106,0.35546875,0.49
66,0.00039643211100099106,0.361328125,0.488
67,0.00039643211100099106,0.36328125,0.486
68,0.00039643211100099106,0.3671875,0.484
69,0.0005946481665014867,0.37109375,0.482
70,0.0005946481665014867,0.373046875,0.48
71,0.0005946481665014867,0.376953125,0.478
72,0.0005946481665014867,0.37890625,0.476
73,0.0005946481665014867,0.384765625,0.474
74,0.0005946481665014867,0.388671875,0.47
75,0.0005946481665014867,0.390625,0.466
76,0.0005946481665014867,0.396484375,0.464
77,0.0005946481665014867,0.419921875,0.448
78,0.0005946481665014867,0.427734375,0.446
79,0.0005946481665014867,0.4375,0.444
80,0.0005946481665014867,0.443359375,0.442
81,0.0005946481665014867,0.4453125,0.44
82,0.0005946481665014867,0.453125,0.436
83,0.0007928642220019821,0.45703125,0.432
84,0.0009910802775024777,0.462890625,0.43
85,0.0009910802775024777,0.478515625,0.42
86,0.0011892963330029733,0.486328125,0.416
87,0.0011892963330029733,0.494140625,0.41
88,0.0011892963330029733,0.49609375,0.408
89,0.0011892963330029733,0.5,0.406
90,0.0011892963330029733,0.501953125,0.404
91,0.0011892963330029733,0.505859375,0.402
92,0.0011892963330029733,0.5078125,0.4
93,0.0011892963330029733,0.513671875,0.398
94,0.0011892963330029733,0.517578125,0.394
95,0.0011892963330029733,0.521484375,0.39
96,0.0011892963330029733,0.525390625,0.386
97,0.0013875123885034688,0.52734375,0.384
98,0.0013875123885034688,0.529296875,0.378
99,0.0015857284440039642,0.53125,0.372
100,0.0015857284440039642,0.5390625,0.37
101,0.00178394449950446,0.541015625,0.368
102,0.00178394449950446,0.544921875,0.366
103,0.002180376610505451,0.548828125,0.362
104,0.002180376610505451,0.5546875,0.358
105,0.002576808721506442,0.556640625,0.352
106,0.0027750247770069376,0.560546875,0.35
107,0.0031714568880079285,0.564453125,0.348
108,0.0033696729435084244,0.56640625,0.346
109,0.0033696729435084244,0.568359375,0.344
110,0.00356788899900892,0.568359375,0.342
111,0.00356788899900892,0.57421875,0.34
112,0.00356788899900892,0.58203125,0.338
113,0.003964321110009911,0.5859375,0.332
114,0.003964321110009911,0.59375,0.328
115,0.003964321110009911,0.599609375,0.326
116,0.004162537165510407,0.599609375,0.324
117,0.004162537165510407,0.6015625,0.322
118,0.0045589692765113975,0.60546875,0.316
119,0.0045589692765113975,0.611328125,0.314
120,0.004955401387512388,0.61328125,0.312
121,0.004955401387512388,0.619140625,0.31
122,0.005153617443012884,0.625,0.308
123,0.005550049554013875,0.626953125,0.306
124,0.005550049554013875,0.638671875,0.302
125,0.005748265609514371,0.638671875,0.3
126,0.006144697720515362,0.638671875,0.296
127,0.006541129831516353,0.646484375,0.292
128,0.006739345887016849,0.65234375,0.288
129,0.007333994053518335,0.65625,0.286
130,0.007333994053518335,0.662109375,0.284
131,0.007928642220019821,0.6640625,0.282
132,0.008325074331020813,0.669921875,0.28
133,0.008325074331020813,0.67578125,0.278
134,0.008523290386521309,0.67578125,0.276
135,0.008919722497522299,0.67578125,0.274
136,0.009117938553022795,0.6796875,0.272
137,0.009712586719524281,0.685546875,0.27
138,0.010109018830525273,0.689453125,0.268
139,0.010109018830525273,0.697265625,0.264
140,0.010307234886025769,0.697265625,0.262
141,0.011496531219028742,0.69921875,0.26
142,0.011694747274529236,0.70703125,0.258
143,0.011892963330029732,0.708984375,0.256
144,0.013280475718533202,0.7109375,0.254
145,0.013875123885034688,0.7109375,0.252
146,0.015064420218037661,0.716796875,0.25
147,0.015460852329038653,0.72265625,0.248
148,0.01565906838453915,0.72265625,0.246
149,0.01645193260654113,0.7265625,0.244
150,0.01684836471754212,0.728515625,0.242
151,0.017443012884043606,0.728515625,0.24
152,0.017641228939544104,0.73046875,0.238
153,0.018037661050545096,0.73828125,0.236
154,0.01823587710604559,0.73828125,0.234
155,0.018632309217046582,0.74609375,0.232
156,0.019226957383548068,0.74609375,0.23
157,0.020218037661050545,0.75,0.228
158,0.02081268582755203,0.75,0.226
159,0.02081268582755203,0.751953125,0.224
160,0.022001982160555007,0.7578125,0.222
161,0.022794846382556987,0.7578125,0.22
162,0.022993062438057484,0.759765625,0.218
163,0.02358771060455897,0.763671875,0.216
164,0.02438057482656095,0.763671875,0.214
165,0.025173439048562934,0.7734375,0.212
166,0.025966303270564917,0.7734375,0.21
167,0.026560951437066403,0.77734375,0.208
168,0.027750247770069375,0.78125,0.206
169,0.028741328047571853,0.78125,0.204
170,0.02973240832507433,0.783203125,0.202
171,0.030525272547076314,0.787109375,0.2
172,0.0311199207135778,0.7890625,0.198
173,0.03250743310208127,0.796875,0.196
174,0.03528245787908821,0.80078125,0.192
175,0.03607532210109019,0.802734375,0.19
176,0.03865213082259663,0.8046875,0.188
177,0.0402378592666006,0.810546875,0.186
178,0.04142715559960357,0.814453125,0.184
179,0.043012884043607535,0.81640625,0.182
180,0.045193260654112985,0.818359375,0.18
181,0.04638255698711596,0.826171875,0.178
182,0.04836471754212091,0.826171875,0.176
183,0.04975222993062438,0.830078125,0.174
184,0.051337958374628345,0.830078125,0.172
185,0.054112983151635284,0.837890625,0.17
186,0.05728444003964321,0.83984375,0.168
187,0.05926660059464817,0.841796875,0.166
188,0.06323092170465808,0.841796875,0.164
189,0.06600594648166501,0.84765625,0.162
190,0.06897918731417245,0.853515625,0.16
191,0.07234886025768088,0.857421875,0.158
192,0.07472745292368682,0.859375,0.156
193,0.07730426164519326,0.861328125,0.154
194,0.07908820614469772,0.86328125,0.152
195,0.08285431119920714,0.865234375,0.15
196,0.0846382556987116,0.87109375,0.148
197,0.08800792864222003,0.873046875,0.146
198,0.09157581764122893,0.875,0.144
199,0.09534192269573835,0.884765625,0.142
200,0.09851337958374629,0.88671875,0.14
201,0.10128840436075322,0.888671875,0.138
202,0.10525272547076313,0.890625,0.136
203,0.110802775024777,0.89453125,0.134
204,0.11318136769078295,0.896484375,0.132
205,0.11674925668979187,0.900390625,0.13
206,0.12170465807730427,0.90625,0.128
207,0.12586719524281467,0.912109375,0.126
208,0.1294350842418236,0.916015625,0.124
209,0.133994053518335,0.916015625,0.122
210,0.13914767096134786,0.923828125,0.12
211,0.14469772051536176,0.927734375,0.118
212,0.14965312190287414,0.9296875,0.116
213,0.155203171456888,0.931640625,0.114
214,0.1599603567888999,0.93359375,0.112
215,0.16412289395441032,0.935546875,0.11
216,0.1690782953419227,0.9375,0.108
217,0.17661050545094154,0.939453125,0.106
218,0.1823587710604559,0.94140625,0.104
219,0.18870168483647176,0.9453125,0.102
220,0.19425173439048563,0.947265625,0.1
221,0.20356788899900893,0.951171875,0.098
222,0.20852329038652131,0.958984375,0.096
223,0.21565906838453916,0.958984375,0.094
224,0.2218037661050545,0.9609375,0.092
225,0.22913776015857285,0.966796875,0.09
226,0.23805748265609514,0.96875,0.088
227,0.24539147670961348,0.970703125,0.086
