,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
0,0.0,0.0,1.938
1,0.0,0.001953125,0.938
2,0.0,0.009765625,0.8
3,0.0,0.013671875,0.766
4,0.0,0.037109375,0.726
5,0.0,0.041015625,0.72
6,0.0,0.056640625,0.69
7,0.0,0.060546875,0.688
8,0.0,0.06640625,0.68
9,0.0,0.072265625,0.678
10,0.0,0.076171875,0.674
11,0.0,0.080078125,0.668
12,0.0,0.08203125,0.666
13,0.0,0.0859375,0.664
14,0.0,0.091796875,0.656
15,0.0,0.095703125,0.654
16,0.0,0.09765625,0.65
17,0.0,0.1015625,0.648
18,0.0,0.107421875,0.642
19,0.0,0.109375,0.64
20,0.0,0.1171875,0.636
21,0.0,0.123046875,0.628
22,0.0,0.126953125,0.626
23,0.0,0.12890625,0.624
24,0.0,0.1328125,0.62
25,0.0,0.134765625,0.618
26,0.0,0.138671875,0.616
27,0.0,0.146484375,0.614
28,0.0,0.1484375,0.612
29,0.0,0.154296875,0.61
30,0.0,0.15625,0.608
31,0.0,0.1640625,0.604
32,0.0,0.16796875,0.6
33,0.0,0.171875,0.596
34,0.0,0.18359375,0.592
35,0.0,0.185546875,0.59
36,0.0,0.189453125,0.588
37,0.0,0.197265625,0.584
38,0.0,0.205078125,0.58
39,0.00019912385503783353,0.205078125,0.578
40,0.00019912385503783353,0.2109375,0.576
41,0.00019912385503783353,0.216796875,0.564
42,0.00019912385503783353,0.232421875,0.554
43,0.00019912385503783353,0.234375,0.552
44,0.00019912385503783353,0.2421875,0.548
45,0.00019912385503783353,0.244140625,0.546
46,0.00019912385503783353,0.248046875,0.544
47,0.00019912385503783353,0.2578125,0.542
48,0.00019912385503783353,0.26171875,0.54
49,0.00019912385503783353,0.263671875,0.538
50,0.00019912385503783353,0.267578125,0.536
51,0.00019912385503783353,0.27734375,0.534
52,0.00019912385503783353,0.283203125,0.528
53,0.00019912385503783353,0.287109375,0.526
54,0.00019912385503783353,0.29296875,0.524
55,0.00019912385503783353,0.302734375,0.522
56,0.00019912385503783353,0.306640625,0.52
57,0.00039824771007566706,0.306640625,0.518
