,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
0,0.0,0.0,1.892
1,0.0,0.001953125,0.892
2,0.0,0.017578125,0.824
3,0.0,0.021484375,0.81
4,0.0,0.03515625,0.778
5,0.0,0.041015625,0.774
6,0.0,0.044921875,0.758
7,0.0,0.048828125,0.754
8,0.0,0.0546875,0.736
9,0.0,0.0625,0.732
10,0.0,0.07421875,0.7
11,0.0,0.078125,0.698
12,0.0,0.087890625,0.684
13,0.0,0.091796875,0.682
14,0.0,0.09765625,0.668
15,0.0,0.107421875,0.666
16,0.0,0.109375,0.664
17,0.0,0.11328125,0.662
18,0.0,0.119140625,0.66
19,0.0,0.123046875,0.658
20,0.0,0.12890625,0.652
21,0.0,0.13671875,0.648
22,0.0,0.142578125,0.642
23,0.0,0.14453125,0.64
24,0.0,0.1484375,0.634
25,0.0,0.154296875,0.632
26,0.0,0.158203125,0.63
27,0.0,0.166015625,0.626
28,0.0,0.169921875,0.618
29,0.0,0.177734375,0.61
30,0.0,0.1796875,0.608
31,0.0,0.18359375,0.606
32,0.0,0.1875,0.602
33,0.0,0.1953125,0.596
34,0.0,0.201171875,0.594
35,0.0,0.203125,0.586
36,0.0,0.20703125,0.584
37,0.0,0.21484375,0.582
38,0.0,0.216796875,0.58
39,0.0,0.22265625,0.576
40,0.0,0.224609375,0.574
41,0.0,0.23046875,0.572
42,0.0,0.23828125,0.564
43,0.0,0.26171875,0.558
44,0.0,0.267578125,0.55
45,0.0,0.271484375,0.542
46,0.0,0.275390625,0.538
47,0.0,0.287109375,0.532
48,0.0,0.294921875,0.524
49,0.0,0.298828125,0.522
50,0.0,0.30078125,0.52
51,0.0,0.310546875,0.518
52,0.0,0.314453125,0.512
53,0.0,0.3203125,0.51
54,0.0,0.32421875,0.508
55,0.0,0.330078125,0.506
56,0.0,0.333984375,0.504
57,0.0,0.34375,0.502
58,0.0,0.345703125,0.5
59,0.0,0.349609375,0.498
60,0.0,0.353515625,0.494
61,0.0,0.359375,0.492
62,0.0,0.37109375,0.486
63,0.0,0.37890625,0.484
64,0.0,0.380859375,0.482
65,0.0,0.38671875,0.48
66,0.0,0.388671875,0.476
67,0.0,0.39453125,0.474
68,0.0,0.396484375,0.472
69,0.0,0.40234375,0.47
70,0.0,0.404296875,0.468
71,0.0,0.408203125,0.466
72,0.0,0.4140625,0.464
73,0.0,0.41796875,0.46
74,0.00019972039145196724,0.41796875,0.458
75,0.00019972039145196724,0.421875,0.456
76,0.00019972039145196724,0.423828125,0.454
77,0.00019972039145196724,0.4296875,0.452
78,0.00019972039145196724,0.43359375,0.45
79,0.00019972039145196724,0.439453125,0.448
80,0.00019972039145196724,0.447265625,0.446
81,0.00019972039145196724,0.455078125,0.442
82,0.00019972039145196724,0.45703125,0.44
83,0.0003994407829039345,0.4609375,0.438
84,0.0003994407829039345,0.462890625,0.434
85,0.0003994407829039345,0.466796875,0.432
86,0.0003994407829039345,0.47265625,0.426
87,0.0003994407829039345,0.4765625,0.42
88,0.0003994407829039345,0.478515625,0.418
89,0.0005991611743559018,0.48046875,0.414
90,0.0005991611743559018,0.484375,0.41
91,0.0005991611743559018,0.48828125,0.408
92,0.0005991611743559018,0.490234375,0.406
93,0.0005991611743559018,0.49609375,0.404
94,0.0005991611743559018,0.5,0.402
95,0.000798881565807869,0.501953125,0.396
96,0.0009986019572598363,0.505859375,0.394
97,0.0009986019572598363,0.5078125,0.392
98,0.0009986019572598363,0.51171875,0.39
99,0.0011983223487118035,0.515625,0.388
100,0.0011983223487118035,0.521484375,0.38
101,0.0011983223487118035,0.525390625,0.376
102,0.0011983223487118035,0.529296875,0.372
103,0.0013980427401637707,0.529296875,0.37
104,0.0013980427401637707,0.53125,0.368
105,0.0013980427401637707,0.54296875,0.362
106,0.00219692430597164,0.55078125,0.356
107,0.002396644697423607,0.5546875,0.352
108,0.0027960854803275414,0.5546875,0.35
109,0.0027960854803275414,0.560546875,0.348
110,0.0027960854803275414,0.5625,0.346
111,0.0029958058717795086,0.564453125,0.344
112,0.003195526263231476,0.5703125,0.342
113,0.003195526263231476,0.572265625,0.34
114,0.003395246654683443,0.572265625,0.338
115,0.0035949670461354103,0.578125,0.336
116,0.0037946874375873775,0.58203125,0.334
117,0.0037946874375873775,0.5859375,0.332
118,0.003994407829039345,0.58984375,0.33
119,0.003994407829039345,0.595703125,0.328
120,0.003994407829039345,0.59765625,0.326
121,0.004793289394847214,0.599609375,0.324
122,0.004793289394847214,0.6015625,0.322
123,0.0051927301777511484,0.603515625,0.318
124,0.0051927301777511484,0.60546875,0.316
125,0.0051927301777511484,0.61328125,0.312
126,0.005592170960655083,0.6171875,0.31
127,0.005991611743559017,0.619140625,0.308
128,0.006191332135010985,0.62109375,0.306
129,0.006790493309366886,0.626953125,0.3
130,0.006790493309366886,0.62890625,0.298
131,0.006990213700818854,0.630859375,0.296
132,0.006990213700818854,0.63671875,0.294
133,0.007189934092270821,0.640625,0.29
134,0.007189934092270821,0.646484375,0.288
135,0.007189934092270821,0.654296875,0.286
136,0.007589374875174755,0.654296875,0.282
137,0.007789095266626723,0.65625,0.28
138,0.008188536049530657,0.658203125,0.278
139,0.008987417615338526,0.662109375,0.276
140,0.009386858398242461,0.662109375,0.274
141,0.010385460355502297,0.671875,0.272
142,0.010585180746954264,0.67578125,0.27
143,0.01078490113840623,0.681640625,0.268
144,0.011583782704214101,0.685546875,0.266
145,0.011783503095666068,0.6875,0.264
146,0.012782105052925903,0.689453125,0.262
147,0.01298182544437787,0.689453125,0.26
148,0.013181545835829839,0.6953125,0.258
149,0.013580986618733772,0.701171875,0.256
150,0.014379868184541641,0.705078125,0.252
151,0.01457958857599361,0.708984375,0.25
152,0.014779308967445576,0.708984375,0.248
153,0.01517874975034951,0.720703125,0.244
154,0.01517874975034951,0.724609375,0.242
155,0.015378470141801479,0.728515625,0.24
156,0.015777910924705412,0.734375,0.238
157,0.016976233273417216,0.736328125,0.236
158,0.017775114839225083,0.73828125,0.234
159,0.01817455562212902,0.73828125,0.232
