,roc_fpr_nfm,roc_tpr_nfm,roc_threshold_nfm
0,0.0,0.0,1.9999423
1,0.0,0.001953125,0.9999423
2,0.0,0.0234375,0.99897313
3,0.00019944156362185878,0.0234375,0.9987852
4,0.00019944156362185878,0.0390625,0.99819744
5,0.00039888312724371757,0.0390625,0.9980818
6,0.00039888312724371757,0.04296875,0.99778795
7,0.0005983246908655763,0.04296875,0.9975821
8,0.0005983246908655763,0.30078125,0.9606339
9,0.0007977662544874351,0.30078125,0.9594935
10,0.0007977662544874351,0.369140625,0.9389324
11,0.000997207818109294,0.369140625,0.93853605
12,0.000997207818109294,0.375,0.9369612
13,0.0011966493817311527,0.375,0.93687296
14,0.0011966493817311527,0.380859375,0.93584055
15,0.0013960909453530116,0.380859375,0.93518615
16,0.0013960909453530116,0.388671875,0.93265986
17,0.0015955325089748703,0.388671875,0.932656
18,0.0015955325089748703,0.421875,0.9235682
19,0.0017949740725967292,0.421875,0.92296004
20,0.0017949740725967292,0.455078125,0.903296
21,0.001994415636218588,0.455078125,0.9030912
22,0.001994415636218588,0.466796875,0.8985418
23,0.0023932987634623054,0.466796875,0.89551264
24,0.0023932987634623054,0.49609375,0.886097
25,0.0025927403270841645,0.49609375,0.88578945
26,0.0025927403270841645,0.50390625,0.88138485
27,0.002792181890706023,0.50390625,0.88130856
28,0.002792181890706023,0.5234375,0.8712294
29,0.002991623454327882,0.5234375,0.8708155
30,0.002991623454327882,0.529296875,0.86934996
31,0.0031910650179497405,0.529296875,0.86892974
32,0.0031910650179497405,0.537109375,0.8649288
33,0.0033905065815715996,0.537109375,0.86309505
34,0.0033905065815715996,0.56640625,0.84147227
35,0.0035899481451934583,0.56640625,0.8402808
36,0.0035899481451934583,0.57421875,0.83719003
37,0.003789389708815317,0.57421875,0.83664525
38,0.003789389708815317,0.583984375,0.8345114
39,0.003988831272437176,0.583984375,0.8340475
40,0.003988831272437176,0.5859375,0.83301675
41,0.004188272836059034,0.5859375,0.8330066
42,0.004188272836059034,0.58984375,0.8299917
43,0.0045871559633027525,0.58984375,0.82952
44,0.0045871559633027525,0.595703125,0.8212097
45,0.004786597526924611,0.595703125,0.8201961
46,0.004786597526924611,0.607421875,0.8122963
47,0.00498603909054647,0.607421875,0.80550104
48,0.00498603909054647,0.61328125,0.80119777
49,0.005185480654168329,0.61328125,0.8004068
50,0.005185480654168329,0.62890625,0.78442645
51,0.005384922217790187,0.62890625,0.7822381
52,0.005384922217790187,0.658203125,0.73793316
53,0.0057838053450339055,0.658203125,0.7366789
54,0.0057838053450339055,0.669921875,0.7178704
55,0.005983246908655764,0.669921875,0.7174814
56,0.005983246908655764,0.67578125,0.7157481
57,0.006382130035899481,0.67578125,0.71442544
58,0.006382130035899481,0.69140625,0.70321816
59,0.00658157159952134,0.69140625,0.70128614
60,0.00658157159952134,0.6953125,0.6941909
61,0.0069804547267650575,0.6953125,0.6919447
62,0.0069804547267650575,0.69921875,0.6890924
63,0.007578779417630634,0.69921875,0.6863845
64,0.007578779417630634,0.705078125,0.6702412
65,0.007778220981252493,0.705078125,0.6672456
66,0.007778220981252493,0.7109375,0.65607303
67,0.007977662544874352,0.7109375,0.65572476
68,0.007977662544874352,0.71875,0.65106213
69,0.008177104108496211,0.71875,0.65096796
70,0.008177104108496211,0.724609375,0.6448471
71,0.008376545672118069,0.724609375,0.643502
72,0.008376545672118069,0.728515625,0.6396293
73,0.008775428799361787,0.728515625,0.6394425
74,0.008775428799361787,0.736328125,0.6228935
75,0.009174311926605505,0.736328125,0.61684257
76,0.009174311926605505,0.748046875,0.61110884
77,0.009373753490227364,0.748046875,0.609458
78,0.009373753490227364,0.759765625,0.59518355
79,0.009573195053849222,0.759765625,0.59362155
