,roc_fpr,roc_tpr,roc_threshold
0,0.0,0.0,4.4971323
1,0.0,0.001953125,3.4971325
2,0.0,0.005859375,3.3120847
3,0.0003980099502487562,0.005859375,3.2403464
4,0.0003980099502487562,0.0234375,2.8476424
5,0.0007960199004975124,0.0234375,2.7447515
6,0.0007960199004975124,0.041015625,2.5828187
7,0.0013930348258706469,0.041015625,2.5637054
8,0.0013930348258706469,0.08203125,2.3592138
9,0.0015920398009950248,0.08203125,2.347831
10,0.0015920398009950248,0.109375,2.259739
11,0.001990049751243781,0.109375,2.2484584
12,0.001990049751243781,0.12109375,2.2075236
13,0.0023880597014925373,0.12109375,2.203515
14,0.0023880597014925373,0.12890625,2.1782727
15,0.0025870646766169153,0.12890625,2.1760454
16,0.0025870646766169153,0.130859375,2.1717498
17,0.0027860696517412937,0.130859375,2.168154
18,0.0027860696517412937,0.15234375,2.1208835
19,0.0029850746268656717,0.15234375,2.1205819
20,0.0029850746268656717,0.166015625,2.0724854
21,0.003383084577114428,0.166015625,2.0703862
22,0.003383084577114428,0.17578125,2.0642939
23,0.003781094527363184,0.17578125,2.0600111
24,0.003781094527363184,0.189453125,2.0367975
25,0.003980099502487562,0.189453125,2.0333772
26,0.003980099502487562,0.1953125,2.0279727
27,0.00417910447761194,0.1953125,2.0227652
28,0.00417910447761194,0.19921875,2.018814
29,0.004577114427860697,0.19921875,2.005516
30,0.004577114427860697,0.205078125,1.997681
31,0.004776119402985075,0.205078125,1.9970205
32,0.004776119402985075,0.2109375,1.9891361
33,0.004975124378109453,0.2109375,1.9879076
34,0.004975124378109453,0.220703125,1.9796858
35,0.005373134328358209,0.220703125,1.9757448
36,0.005373134328358209,0.2265625,1.96986
37,0.005572139303482587,0.2265625,1.9662275
38,0.005572139303482587,0.23046875,1.9644375
39,0.005771144278606965,0.23046875,1.9608648
40,0.005771144278606965,0.232421875,1.9595448
41,0.005970149253731343,0.232421875,1.9586072
42,0.005970149253731343,0.2578125,1.9284298
43,0.006169154228855721,0.2578125,1.9281201
44,0.006169154228855721,0.26171875,1.9235847
45,0.006766169154228856,0.26171875,1.9217279
46,0.006766169154228856,0.27734375,1.9011459
47,0.00736318407960199,0.27734375,1.8946961
48,0.00736318407960199,0.28125,1.8928862
49,0.007960199004975124,0.28125,1.8883073
50,0.007960199004975124,0.283203125,1.887075
51,0.008159203980099502,0.283203125,1.8861885
52,0.008159203980099502,0.30078125,1.8752503
53,0.00835820895522388,0.30078125,1.8744463
54,0.00835820895522388,0.306640625,1.8675854
55,0.00855721393034826,0.306640625,1.8672305
56,0.00855721393034826,0.30859375,1.8621075
57,0.008756218905472637,0.30859375,1.859869
58,0.008756218905472637,0.310546875,1.8592079
59,0.008955223880597015,0.310546875,1.8565867
60,0.008955223880597015,0.3203125,1.8455298
61,0.009154228855721393,0.3203125,1.8447729
62,0.009154228855721393,0.322265625,1.8441265
63,0.00955223880597015,0.322265625,1.8395206
64,0.00955223880597015,0.328125,1.8335674
65,0.009751243781094527,0.328125,1.8326688
66,0.009751243781094527,0.33203125,1.8242159
67,0.010149253731343283,0.33203125,1.8199972
68,0.010149253731343283,0.33984375,1.8118002
69,0.010348258706467661,0.33984375,1.8113875
70,0.010348258706467661,0.34375,1.8089304
71,0.01054726368159204,0.34375,1.8087215
72,0.01054726368159204,0.345703125,1.8068182
73,0.010746268656716417,0.345703125,1.800652
74,0.010746268656716417,0.34765625,1.8003795
75,0.010945273631840797,0.34765625,1.7978321
76,0.010945273631840797,0.353515625,1.7871888
77,0.011144278606965175,0.353515625,1.7836771
78,0.011144278606965175,0.357421875,1.7810394
79,0.011343283582089553,0.357421875,1.7770933
80,0.011343283582089553,0.365234375,1.7720113
81,0.011940298507462687,0.365234375,1.7683337
82,0.011940298507462687,0.3671875,1.7669842
83,0.012338308457711443,0.3671875,1.7657906
84,0.012338308457711443,0.369140625,1.7586339
85,0.013134328358208954,0.369140625,1.7536138
86,0.013134328358208954,0.375,1.7495699
87,0.013532338308457712,0.375,1.7411219
88,0.013532338308457712,0.376953125,1.7404457
89,0.01373134328358209,0.376953125,1.7398248
90,0.01373134328358209,0.37890625,1.734992
91,0.013930348258706468,0.37890625,1.734198
92,0.013930348258706468,0.380859375,1.7338048
93,0.014129353233830846,0.380859375,1.7289288
94,0.014129353233830846,0.384765625,1.7272995
95,0.014328358208955224,0.384765625,1.727082
96,0.014328358208955224,0.390625,1.7228348
97,0.014527363184079602,0.390625,1.7224398
98,0.014527363184079602,0.39453125,1.7211535
99,0.01472636815920398,0.39453125,1.7205787
100,0.01472636815920398,0.40625,1.7126051
101,0.014925373134328358,0.40625,1.71231
102,0.014925373134328358,0.408203125,1.7118609
103,0.015323383084577114,0.408203125,1.7069659
104,0.015323383084577114,0.41015625,1.7062703
105,0.015522388059701492,0.41015625,1.704346
106,0.015522388059701492,0.412109375,1.7031541
107,0.016517412935323383,0.412109375,1.6981868
108,0.016517412935323383,0.419921875,1.6910584
109,0.01691542288557214,0.419921875,1.6871809
110,0.01691542288557214,0.42578125,1.684513
111,0.01711442786069652,0.42578125,1.6841551
112,0.01711442786069652,0.427734375,1.6841364
113,0.017313432835820895,0.427734375,1.6822286
114,0.017313432835820895,0.431640625,1.680193
115,0.018507462686567163,0.431640625,1.6720291
116,0.018507462686567163,0.435546875,1.6701119
117,0.019701492537313434,0.435546875,1.6565161
118,0.019701492537313434,0.439453125,1.6553892
119,0.01990049751243781,0.439453125,1.6518501
120,0.01990049751243781,0.455078125,1.6411467
121,0.02009950248756219,0.455078125,1.6397619
