,pr_precision_rf,pr_recall_rf,pr_threshold_rf
0,0.09236875338264477,1.0,0.0
1,0.09725923106204797,0.998046875,0.005
2,0.10504634397528322,0.99609375,0.01
3,0.11465827338129496,0.99609375,0.015
4,0.12481608631682198,0.994140625,0.02
5,0.13576953854361162,0.994140625,0.025
6,0.14669361825007218,0.9921875,0.03
7,0.15758330738087822,0.98828125,0.035
8,0.16889185580774366,0.98828125,0.04
9,0.18162239770279973,0.98828125,0.045
10,0.19377162629757785,0.984375,0.05
11,0.20589439214081048,0.982421875,0.055
12,0.21722198182604932,0.98046875,0.06
13,0.22789425706472197,0.9765625,0.065
14,0.23942307692307693,0.97265625,0.07
15,0.25075681130171545,0.970703125,0.075
16,0.26052631578947366,0.966796875,0.08
17,0.26933625891387825,0.958984375,0.085
18,0.2791762013729977,0.953125,0.09
19,0.28834720570749106,0.947265625,0.095
20,0.29912935323383083,0.939453125,0.1
21,0.31007751937984496,0.9375,0.105
22,0.3193052772211089,0.93359375,0.11
23,0.3262216104611149,0.92578125,0.115
24,0.3361945636623748,0.91796875,0.12
25,0.3448529411764706,0.916015625,0.125
26,0.3550114766641163,0.90625,0.13
27,0.3682108626198083,0.900390625,0.135
28,0.3805970149253731,0.896484375,0.14
29,0.3900769888793841,0.890625,0.145
30,0.40017746228926354,0.880859375,0.15
31,0.40710382513661203,0.873046875,0.155
32,0.41318477251624885,0.869140625,0.16
33,0.4194470924690181,0.859375,0.165
34,0.4332344213649852,0.85546875,0.17
35,0.4429735234215886,0.849609375,0.175
36,0.45215562565720296,0.83984375,0.18
37,0.4654226125137212,0.828125,0.185
38,0.47237880496054113,0.818359375,0.19
39,0.48372093023255813,0.8125,0.195
40,0.4952038369304556,0.806640625,0.2
41,0.5030750307503075,0.798828125,0.205
42,0.5101265822784811,0.787109375,0.21
43,0.524869109947644,0.783203125,0.215
44,0.5370121130551817,0.779296875,0.22
45,0.5473537604456824,0.767578125,0.225
46,0.5640287769784172,0.765625,0.23
47,0.5769230769230769,0.76171875,0.235
48,0.5899390243902439,0.755859375,0.24
49,0.6009389671361502,0.75,0.245
50,0.6099518459069021,0.7421875,0.25
51,0.618657937806874,0.73828125,0.255
52,0.637901861252115,0.736328125,0.26
53,0.643598615916955,0.7265625,0.265
54,0.6595365418894831,0.72265625,0.27
55,0.6702898550724637,0.72265625,0.275
56,0.6753246753246753,0.7109375,0.28
57,0.6844106463878327,0.703125,0.285
58,0.7007874015748031,0.6953125,0.29
59,0.710261569416499,0.689453125,0.295
60,0.7261410788381742,0.68359375,0.3
61,0.7372881355932204,0.6796875,0.305
62,0.7408207343412527,0.669921875,0.31
63,0.7472527472527473,0.6640625,0.315
64,0.759009009009009,0.658203125,0.32
65,0.7655172413793103,0.650390625,0.325
66,0.7663551401869159,0.640625,0.33
67,0.7793764988009593,0.634765625,0.335
68,0.7853658536585366,0.62890625,0.34
69,0.7881773399014779,0.625,0.345
70,0.7919799498746867,0.6171875,0.35
71,0.8,0.609375,0.355
72,0.8078947368421052,0.599609375,0.36
73,0.8111702127659575,0.595703125,0.365
74,0.8174386920980926,0.5859375,0.37
75,0.8254847645429363,0.58203125,0.375
76,0.8361581920903954,0.578125,0.38
77,0.8492753623188406,0.572265625,0.385
78,0.8508771929824561,0.568359375,0.39
79,0.855457227138643,0.56640625,0.395
80,0.8614457831325302,0.55859375,0.4
81,0.8658536585365854,0.5546875,0.405
82,0.8699690402476781,0.548828125,0.41
83,0.8773584905660378,0.544921875,0.415
84,0.8853503184713376,0.54296875,0.42
85,0.8932038834951457,0.5390625,0.425
86,0.8928571428571429,0.537109375,0.43
87,0.8980263157894737,0.533203125,0.435
88,0.900990099009901,0.533203125,0.44
89,0.9033333333333333,0.529296875,0.445
90,0.9026845637583892,0.525390625,0.45
91,0.9078498293515358,0.51953125,0.455
92,0.9059233449477352,0.5078125,0.46
93,0.9042553191489362,0.498046875,0.465
94,0.9107142857142857,0.498046875,0.47
95,0.9166666666666666,0.494140625,0.475
96,0.916058394160584,0.490234375,0.48
97,0.9182156133828996,0.482421875,0.485
98,0.9176029962546817,0.478515625,0.49
99,0.9210526315789473,0.478515625,0.495
100,0.9198473282442748,0.470703125,0.505
101,0.9254901960784314,0.4609375,0.51
102,0.928,0.453125,0.515
103,0.9317269076305221,0.453125,0.52
104,0.9311740890688259,0.44921875,0.525
105,0.9344262295081968,0.4453125,0.53
106,0.9369747899159664,0.435546875,0.535
107,0.9361702127659575,0.4296875,0.54
108,0.9393939393939394,0.423828125,0.545
109,0.9429824561403509,0.419921875,0.55
110,0.947136563876652,0.419921875,0.555
111,0.9459459459459459,0.41015625,0.56
112,0.9447004608294931,0.400390625,0.565
113,0.9436619718309859,0.392578125,0.57
114,0.9428571428571428,0.38671875,0.575
115,0.9423076923076923,0.3828125,0.58
116,0.9408866995073891,0.373046875,0.585
117,0.9405940594059405,0.37109375,0.59
118,0.9441624365482234,0.36328125,0.595
119,0.9481865284974094,0.357421875,0.6
120,0.9473684210526315,0.3515625,0.605
121,0.946236559139785,0.34375,0.61
122,0.9508196721311475,0.33984375,0.615
123,0.9555555555555556,0.3359375,0.62
124,0.9540229885057471,0.32421875,0.625
125,0.9526627218934911,0.314453125,0.63
126,0.9518072289156626,0.30859375,0.635
127,0.9575757575757575,0.30859375,0.64
128,0.9573170731707317,0.306640625,0.645
129,0.9565217391304348,0.30078125,0.65
130,0.9551282051282052,0.291015625,0.655
131,0.9545454545454546,0.287109375,0.66
132,0.9533333333333334,0.279296875,0.665
133,0.9523809523809523,0.2734375,0.67
134,0.9583333333333334,0.26953125,0.675
135,0.9577464788732394,0.265625,0.68
136,0.9565217391304348,0.2578125,0.685
137,0.9629629629629629,0.25390625,0.69
138,0.9626865671641791,0.251953125,0.695
139,0.96875,0.2421875,0.7
140,0.9672131147540983,0.23046875,0.705
141,0.9666666666666667,0.2265625,0.71
142,0.9658119658119658,0.220703125,0.715
143,0.9642857142857143,0.2109375,0.72
144,0.963963963963964,0.208984375,0.725
145,0.963302752293578,0.205078125,0.73
146,0.9619047619047619,0.197265625,0.735
147,0.96,0.1875,0.74
148,0.9587628865979382,0.181640625,0.745
149,0.9578947368421052,0.177734375,0.75
150,0.967032967032967,0.171875,0.755
151,0.9662921348314607,0.16796875,0.76
152,0.9647058823529412,0.16015625,0.765
153,0.9634146341463414,0.154296875,0.77
154,0.9615384615384616,0.146484375,0.775
155,0.9733333333333334,0.142578125,0.78
156,0.9726027397260274,0.138671875,0.785
157,0.9859154929577465,0.13671875,0.79
158,1.0,0.126953125,0.795
159,1.0,0.123046875,0.8
160,1.0,0.119140625,0.805
161,1.0,0.11328125,0.81
162,1.0,0.109375,0.815
163,1.0,0.10546875,0.82
164,1.0,0.1015625,0.825
165,1.0,0.099609375,0.83
166,1.0,0.095703125,0.835
167,1.0,0.08984375,0.84
168,1.0,0.083984375,0.845
169,1.0,0.08203125,0.85
170,1.0,0.078125,0.86
171,1.0,0.076171875,0.865
172,1.0,0.072265625,0.87
173,1.0,0.068359375,0.875
174,1.0,0.06640625,0.88
175,1.0,0.056640625,0.885
176,1.0,0.052734375,0.89
177,1.0,0.048828125,0.895
178,1.0,0.041015625,0.9
179,1.0,0.0390625,0.905
180,1.0,0.037109375,0.91
181,1.0,0.03515625,0.915
182,1.0,0.03125,0.92
183,1.0,0.029296875,0.925
184,1.0,0.025390625,0.93
185,1.0,0.0234375,0.935
186,1.0,0.01953125,0.94
187,1.0,0.013671875,0.95
188,1.0,0.01171875,0.955
189,1.0,0.0078125,0.96
190,1.0,0.005859375,0.965
191,1.0,0.00390625,0.97
192,1.0,0.001953125,0.975
193,1.0,0.0,
