,pr_precision_rf,pr_recall_rf,pr_threshold_rf
0,0.10631229235880399,1.0,0.01
1,0.1167199634536318,0.998046875,0.015
2,0.12889339073183084,0.994140625,0.02
3,0.14115031953320367,0.9921875,0.025
4,0.1541033434650456,0.990234375,0.03
5,0.1662286465177398,0.98828125,0.03448624037048582
6,0.16628327308577062,0.98828125,0.035
7,0.17785588752196838,0.98828125,0.04
8,0.1885245901639344,0.98828125,0.045
9,0.20403225806451614,0.98828125,0.05
10,0.21692439862542956,0.986328125,0.054068222657433024
11,0.21701761925225613,0.986328125,0.054486240370485814
12,0.2172043010752688,0.986328125,0.055
13,0.22888283378746593,0.984375,0.05762268568535186
14,0.22898682417083144,0.984375,0.06
15,0.24065196548418025,0.98046875,0.065
16,0.25037556334501754,0.9765625,0.0687214649822695
17,0.250501002004008,0.9765625,0.07
18,0.2607329842931937,0.97265625,0.07406822265743301
19,0.2608695652173913,0.97265625,0.075
20,0.27044711014176664,0.96875,0.07906822265743302
21,0.270594653573377,0.96875,0.08
22,0.2782167042889391,0.962890625,0.085
23,0.28892835997631733,0.953125,0.08828367101261601
24,0.2890995260663507,0.953125,0.08948624037048582
25,0.28927089508002374,0.953125,0.09
26,0.3015479876160991,0.951171875,0.095
27,0.3122966818477554,0.9375,0.09948624037048581
28,0.3125,0.9375,0.1
29,0.32448979591836735,0.931640625,0.105
30,0.33192389006342493,0.919921875,0.10526441119391268
31,0.3321579689703808,0.919921875,0.10758606442026161
32,0.3323923782639379,0.919921875,0.11
33,0.3403330919623461,0.91796875,0.115
34,0.34805389221556887,0.908203125,0.12
35,0.35853468433359315,0.8984375,0.125
36,0.3643595863166269,0.89453125,0.1294862403704858
37,0.3646496815286624,0.89453125,0.13
38,0.3722267871815941,0.884765625,0.13448624037048582
39,0.3725328947368421,0.884765625,0.135
40,0.38277919863597615,0.876953125,0.13906822265743302
41,0.38310580204778155,0.876953125,0.14
42,0.39345711759504864,0.869140625,0.145
43,0.4075091575091575,0.869140625,0.15
44,0.41954022988505746,0.85546875,0.155
