,roc_auc,pr_auc,roc_auc_nfm,pr_auc_nfm
0,0.9421836131840796,0.6465872331605567,0.989568952114428,0.9240249469363823
1,0.9327081933243727,0.6365690343982465,0.987883196746814,0.9220479013403377
2,0.9259158141676622,0.5621621440940499,0.9838948859393668,0.8806200935470261
3,0.9368629009270276,0.6311899895682841,0.9803885800862582,0.8647949703688494
4,0.9346492834790384,0.6294588951651575,0.9778046921567654,0.8519460183663498
5,0.9335647144449951,0.6401970951756997,0.9773100687561943,0.8727598273239096
6,0.9338079938671718,0.6450026706884282,0.9796629982922817,0.8863443867360803
7,0.9276127660632583,0.6521425889594606,0.9812654245200916,0.887514967518519
8,0.9264243331966806,0.6009953143697471,0.9840104632528325,0.8983931622998039
9,0.9397257901437988,0.6409641841428931,0.9701234677701217,0.8284212189854736
